Kernel,C,class_weight,Validation Precision,Validation Recall,Validation Accuracy,Validation F1 Score,Validation Balanced Accuracy,Validation Balanced Error Rate,Validation TP,Validation FP,Validation TN,Validation FN,Test Precision,Test Recall,Test Accuracy,Test F1 Score,Test Balanced Accuracy,Test Balanced Error Rate,Test TP,Test FP,Test TN,Test FN
linear,0.1,None,0.9388410049514029,1.0,0.9388410049514029,0.9684558997398912,0.5,0.5,10239,667,0,0,0.9281762295081967,1.0,0.9281762295081967,0.9627504118178437,0.5,0.5,9059,701,0,0
linear,1,None,0.9388410049514029,1.0,0.9388410049514029,0.9684558997398912,0.5,0.5,10239,667,0,0,0.9281762295081967,1.0,0.9281762295081967,0.9627504118178437,0.5,0.5,9059,701,0,0
linear,10,None,0.9388410049514029,1.0,0.9388410049514029,0.9684558997398912,0.5,0.5,10239,667,0,0,0.9281762295081967,1.0,0.9281762295081967,0.9627504118178437,0.5,0.5,9059,701,0,0
linear,100,None,0.9388410049514029,1.0,0.9388410049514029,0.9684558997398912,0.5,0.5,10239,667,0,0,0.9281762295081967,1.0,0.9281762295081967,0.9627504118178437,0.5,0.5,9059,701,0,0
rbf,0.1,None,0.9388410049514029,1.0,0.9388410049514029,0.9684558997398912,0.5,0.5,10239,667,0,0,0.9281762295081967,1.0,0.9281762295081967,0.9627504118178437,0.5,0.5,9059,701,0,0
rbf,1,None,0.9390937442671069,0.9999023342123254,0.9390243902439024,0.9685445343172037,0.5022000426683816,0.4977999573316184,10238,664,3,1,0.9282713392765652,1.0,0.9282786885245902,0.9628015729620577,0.5007132667617689,0.49928673323823114,9059,700,1,0
rbf,10,None,0.9390937442671069,0.9999023342123254,0.9390243902439024,0.9685445343172037,0.5022000426683816,0.4977999573316184,10238,664,3,1,0.9282713392765652,1.0,0.9282786885245902,0.9628015729620577,0.5007132667617689,0.49928673323823114,9059,700,1,0
rbf,100,None,0.9417180738421876,0.9989256763355796,0.9409499358151476,0.969478672985782,0.524950094539604,0.47504990546039605,10228,633,34,11,0.9306869600987248,0.9990065128601391,0.9300204918032787,0.963637331629665,0.5187614589978299,0.4812385410021701,9050,674,27,9
sigmoid,0.1,None,0.9434034784279811,0.9588827033890028,0.9073904272877316,0.951080112370435,0.5379121163121926,0.4620878836878074,9818,589,78,421,0.9314537824168729,0.9555138536262281,0.8934426229508197,0.9433304272013949,0.5234059995663237,0.4765940004336763,8656,637,64,403
sigmoid,1,None,0.9434786831115859,0.9488231272585214,0.8985879332477535,0.9461433580054538,0.5381297045587959,0.46187029544120406,9715,582,85,524,0.9317211948790897,0.9399492217684071,0.8803278688524591,0.9358171227607429,0.524896151540409,0.47510384845959097,8515,624,77,544
sigmoid,10,None,0.943579766536965,0.9473581404434027,0.8973959288465065,0.9454651786149422,0.5388964615260492,0.4611035384739508,9700,580,87,539,0.9317409882765422,0.9387349597085771,0.8793032786885245,0.9352248982733972,0.5250022872722628,0.47499771272773716,8504,623,78,555
sigmoid,100,None,0.9435687877018876,0.9471628088680535,0.8972125435540069,0.9453623824145829,0.5387987957383745,0.4612012042616255,9698,580,87,541,0.9318057230566824,0.9381830224086544,0.8788934426229508,0.934983498349835,0.5254395853840704,0.47456041461592957,8499,622,79,560
